Updated Species Name (from Wilson & Reeder Mammal Species of the World)	Species Name (from original article)	Order	Brain Volume	Brain Volume Standard Deviation	Brain Mass (g)	Brain Mass Standard Deviation	Body Mass (g)	Body Mass Standard Deviation	Sex	No. Individuals	Age Class	Source	Notes
Mustela erminea	Mustela arctica	Carnivora			3.47		121		F	1	Adult	Crile & Quiring 1940	Age class estimated from body mass
Mustela erminea	Mustela arctica	Carnivora			5.64		169.3		M	3	Adult	Crile & Quiring 1940	Age class estimated from body mass
Mustela erminea	Arctogale ermineus	Carnivora			4.6		179		NA	1	Adult	Warncke 1908	Age class estimated from body mass
Mustela erminea	Arctogale ermineus	Carnivora			4		98		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Mustela erminea	Arctogale ermineus	Carnivora			3.3		102		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Mustela putorius	Putorius putor	Carnivora			7.87		915		M	1	Adult	Count 1947 (Hrdlicka 1925)	
Mustela putorius	Putorius putorius	Carnivora			7.5		NA		NA	1	NA	Warncke 1908	
Mustela putorius	Putorius furo	Carnivora			6.6		415		NA	1	Not Adult	Warncke 1908	Age class estimated from body mass
Myocastor coypus	Myocastor coypus	Rodentia			17.09		7052		M&F	NA	Adult	Mace 1981	"Body mass estimated from Silva & Downing 1995; Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Myodes gapperi	Clethrionomys gapperi	Rodentia			0.56		16.9		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Myodes glarelus	Clethrionomys glareolus	Rodentia			0.52		17.9		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Myodes rufocanus	Clethrionomys rufocanus	Rodentia			0.61		38.3		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Myodes rutilus	Clethrionomys rutilus	Rodentia			0.56		17.6		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Myoictis melas	Myoictis melas	Dasyuromorphia	2.05	0.47	2.1238		131.1	79.9	NA	4	Not Adult	Ashwell 2007	Age class estimated from body mass
Myoprocta pratti	Dasyprocta pratti	Rodentia			10.93		900		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Myopus schisticolor	Myopus schisticolor	Rodentia			0.56		33.5		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Myotis bechsteinii	Myotis bechsteinii	Chiroptera			0.265		7.5		NA	2	Adult	Pirlot & Stephan 1970	
Myotis bocagei	Myotis bocagei	Chiroptera			0.21		7.6		NA	1	Adult	Pirlot & Stephan 1970	
Myotis dasycneme	Myotis dasycneme	Chiroptera			0.31		15		NA	1	Adult	Pirlot & Stephan 1970	
Myotis daubentonii	Myotis daubentonii	Chiroptera			0.23		7		NA	1	Adult	Pirlot & Stephan 1970	
Myotis myotis	Myotis myotis	Chiroptera			0.48		25		NA	5	Adult	Pirlot & Stephan 1970	
Myotis mystacinus	Myotis Mystacinus	Chiroptera			0.16		4		NA	2	Adult	Pirlot & Stephan 1970	
Myotis nattereri	Myotis nattereri	Chiroptera			0.22		7		NA	1	Adult	Pirlot & Stephan 1970	
Myotis nigricans	Myotis nigricans	Chiroptera			0.12		4.5		NA	6	Adult	Pirlot & Stephan 1970	
Myrmecobius fasciatus	Myrmecobius fasciatus	Dasyuromorphia	4.25	0.21	4.403		405.4	38.4	NA	2	Adult	Ashwell 2007	Age class estimated from body mass
Myrmecophaga tridactyla	Myrmecophaga tridactyla	Xenarthra			58.8		15000		F	1	Subadult	Pirlot & Kamiya 1983	
Myrmecophaga tridactyla	Myrmecophaga jubata	Xenarthra			84		18940		F	1	Adult	Spitzka 1903	Age class estimated from body mass
Mystromys albicaudatus	Mystromys albicaudatus	Rodentia			1.39		80		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Napaeozapus insignis	Napoezapus insignus	Rodentia			0.48		23.2		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Nasalis larvatus	Nasalis larvatus	Primates			97		14000		NA	1	NA	Stephan 1981	
Nasua narica	Nasua narica panamaensis	Carnivora			44.17		6250		M	1	Adult	Crile & Quiring 1940	Age class estimated from body mass
Nasua narica	Nasua narica panamaensis	Carnivora			23.3		399		NA	1	Adult	Crile & Quiring 1940	
Nasua nasua	Nasua rufa	Carnivora			34		3175		F	1	Adult	Count 1947 (Hrdlicka 1925)	
Nasua nasua	Nasua rufa	Carnivora			41		3200		F	1	Adult	Spitzka 1903	Age class estimated from body mass
Nasua nasua	Nasua rufa	Carnivora			32		2165		F	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Nasua nasua	Nasua rufa	Carnivora			35		719		M	1	Juvenile	Spitzka 1903	
Nasua nasua	Nasua rufa	Carnivora			29		1127		F	1	Juvenile	Spitzka 1903	
Nasua nasua	Nasua rufa	Carnivora			30		NA		M	1	Juvenile	Spitzka 1903	
Neofiber alleni	Neofiver allenyi	Rodentia			2.72		270.5		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Neomys fodiens	Neomys fodiens	Eulipotyphla			0.29		17.5		M&F	NA	Adult	Mace 1981	
Neomys fodiens	Neomys fodiens	Eulipotyphla			0.32		15.2		NA	2	Adult	Stephan 1981	Age class estimated from body mass
Neophascogale lorentzi	Neophascogale lorentzi	Dasyuromorphia	2.45	0.57	2.5382		206.4	7.8	NA	2	NA	Ashwell 2007	
Neophoca cinerea	Neophoca cinerea	Carnivora			337.5		78550		F	1	Adult	Bininda-Emonds 2000	
Neophoca cinerea	Neophoca cinerea	Carnivora			440		300000		M	1	Adult	Bininda-Emonds 2000	
Neotoma albigula	Neotoma albigula	Rodentia			2.17		223.1		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Neotoma cinerea	Neotoma cinerea	Rodentia			2.65		331.3		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Neotoma floridana	Neotoma floridana	Rodentia			3.04		257.7		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Neotoma fuscipes	Neotoma fuscipes	Rodentia			2.66		193.3		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Neotoma micropus	Neotoma microps	Rodentia			2.66		378.3		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Neotoma sp.	Neotoma	Rodentia			2.2		NA		M	2	NA	Crile & Quiring 1940	
Neotoma sp.	Neotoma	Rodentia			1.87		NA		F	4	NA	Crile & Quiring 1940	
Neurotrichus gibbsii	Neurotrichus gibbsii	Eulipotyphla			0.91		10		M&F	NA	Adult	Mace 1981	
Ningaui ridei	Ningaui ridei	Dasyuromorphia	0.24		0.24864		4		NA	1	Not Adult	Ashwell 2007	Age class estimated from body mass
Ningaui yvonnae	Ningaui yvonnae	Dasyuromorphia	0.26	0.04	0.26936		7.8	1.1	NA	2	NA	Ashwell 2007	
Noctilio albiventris	Noctilio labialis	Chiroptera			0.55		38.5		NA	6	Adult	Pirlot & Stephan 1970	
Noctilio leporinus	Noctillio leporinus	Chiroptera			1.26		58.5		NA	8	Adult	Pirlot & Stephan 1970	
Notiosorex crawfordi	Notiosorex crawfordii	Eulipotyphla			0.15		6		M&F	NA	Adult	Mace 1981	
Notomys alexis	Notomys alexis	Rodentia			0.96		37		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Notorycetes caurinus	Notorycetes caurinus	Notoryctemorphia	0.78	0.01	0.80808		55		NA	2	NA	Ashwell 2007	
Nycteris arge	Nycteris arge	Chiroptera			0.36		10.6		NA	4	Adult	Pirlot & Stephan 1970	
Nycticebus coucang	Nycticebus coucang	Primates			7.88		965		NA	1	Adult	Glendenning 1998	
Nycticebus coucang	Nycticebus coucang	Primates			13.6		885		M	1	Adult	Sherwood data/this study	Estimated age of species: 14y; Body mass estimated from Silva & Dowing 1995
Nycticebus coucang	Nycticebus tardigradus	Primates			12		612		M	1	Not Adult	Spitzka 1903	Age class estimated from body mass
Nycticebus coucang	Nyctycebus coucang	Primates			12.5		800		NA	2	Adult	Stephan 1981	Age class estimated from body mass
Nycticebus coucang	Nycticebus tardigradus	Primates			14.4		572		NA	1	Adult	Warncke 1908	
Nycticebus coucang	Nycticebus tardigradus	Primates			10.5		365		NA	1	Adult	Warncke 1908	
Nycticebus coucang	Nycticebus tardigradus	Primates			5.5		335.5		NA	1	Juvenile	Warncke 1908	
Nycticebus pygmaeus	Nycticebus pygmaeus	Primates			7.8		480		F	1	Adult	Sherwood data/this study	"Estimated age of species: 8 y, 1 m; Body mass estimated from Silva & Downing 1995"
Nyctomys sumichrasti	Nyctomys sumichrasti	Rodentia			1.08		60		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Ochotona hyperborea	Ochotona hyperborea	Lagomorpha			2.22		120		M&F	NA	Adult	Mace 1981	
Ochotona princeps	Ochotonoa princeps	Lagomorpha			2.39		169		M&F	NA	Adult	Mace 1981	
Ochotona rufescens	Ochotona rufescens	Lagomorpha			2.75		250		M&F	NA	Adult	Mace 1981	
Odobenus rosmarus	Odobenus rosmarus	Carnivora			1340.5		811500		F	1	Adult	Bininda-Emonds 2000	
Odobenus rosmarus	Odobenus rosmarus	Carnivora			1480		1232950		M	1	Adult	Bininda-Emonds 2000	
Odobenus rosmarus	Odobenus rosmarus	Carnivora			NA		595600		M	3	NA	Crile & Quiring 1940	
Odobenus rosmarus	Odobenus rosmarus	Carnivora			1126		667000		M	1	Not Adult	Crile & Quiring 1940	Age class estimated from body mass
Odobenus rosmarus	Odobenus rosmarus	Carnivora			737		55790		F	1	Juvenile	Crile & Quiring 1940	Estimated age of species: 3 m
Odobenus rosmarus	Odobenus rosmarus	Carnivora			NA		79380		M	1	Juvenile	Crile & Quiring 1940	Estimated age of species: 3 m
Odocoileus hemionus	Hemionus odocoileus	Cetartiodactyla			182		NA		M	3	NA	Crile & Quiring 1940	
Odocoileus hemionus	Odoileus haemionus	Cetartiodactyla			195		NA		NA	1	NA	Warncke 1908	
Odocoileus virginianus	Odocoileus couesi	Cetartiodactyla			123		NA		M	3	NA	Crile & Quiring 1940	
Odocoileus virginianus	Odocoileus chiriquensis	Cetartiodactyla			54.1		2376		NA	2	Juvenile	Crile & Quiring 1940	
Odocoileus virginianus	Odocoileus virginianus	Cetartiodactyla			210		65090		F	2	Adult	Crile & Quiring 1940	Age class estimated from body mass
Odocoileus virginianus	Odocoileus chiriquensis	Cetartiodactyla			NA		13930		F	1	Adult	Crile & Quiring 1940	
Odocoileus virginianus	Odocoileus virginianus	Cetartiodactyla			160		40000		NA	1	Adult	Glendenning 1998	
Oligoryzomys longicaudatus	Oryzomys longicaudatus	Rodentia			0.67		26.6		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Ommatophoca rossii	Ommatophoca rossii	Carnivora			460		173800		M	1	Adult	Bininda-Emonds 2000	
Ommatophoca rossii	Ommatophoca rossii	Carnivora			530		185000		F	1	Adult	Bininda-Emonds 2000	
Ondatra zebethicus	Ondatra zibethica alba	Rodentia			5.33		900		M	1	Adult	Crile & Quiring 1940	Age class estimated from body mass
Ondatra zibethicus	Ondatra zibethica	Rodentia			4.73		1372.9		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Onychogalea fraenata	Onychogalea fraenata	Diprotodontia	14.7	0.8	15.2292		3484	586	NA	5	Not Adult	Ashwell 2007	Age class estimated from body mass
Onychogalea fraenata	Onychogale frenata	Diprotodontia			13.5		1433		NA	1	Adult	Warncke 1908	
Onychogalea fraenata	Onychogale frenata	Diprotodontia			6.8		165		NA	1	Juvenile	Warncke 1908	
Onychogalea fraenata	Onychogale frenata	Diprotodontia			4.7		75		NA	1	Juvenile	Warncke 1908	
Onychogalea lunata	Onychogalea lunata	Diprotodontia	10.2	1	10.5672		1313	269	NA	3	NA	Ashwell 2007	
Onychogalea unguifera	Onychogalea unguifera	Diprotodontia	16.7	1.9	17.3012		5242	536	NA	3	Not Adult	Ashwell 2007	Age class estimated from body mass
Onychomys leucogaster	Onychomys leucogaster brevicaudus	Rodentia	0.762	0.007	0.789432		28.42	0.86	F	35	Adult	Mann & Towe 2002	
Onychomys leucogaster	Onychomys leucogaster brevicaudus	Rodentia	0.784	0.006	0.812224		26.35	0.531	M	45	Adult	Mann & Towe 2002	
Onychomys torridus	Onychomys torridus pulcher	Rodentia	0.569	0.006	0.589484		20.97	0.927	F	22	Adult	Mann & Towe 2002	
Onychomys torridus	Onychomys torridus pulcher	Rodentia	0.579	0.004	0.599844		19.07	0.473	M	36	Adult	Mann & Towe 2002	
Orcinus orca	Orcinus orca	Cetartiodactyla			NA		NA		NA	NA	NA	Marino 2004	
Orcinus orca	Orcinus	Cetartiodactyla			6052		3273000		M	1	Adult	Ridgway et al. 1987	
Orthogeomys cherriei	Orthogeomys cherriei	Rodentia	3.35		3.4706		405		M	1	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Orthogeomys heterodus	Orthogeomys heterodus	Rodentia	4.16		4.30976		630		M	1	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Orthogeomys hispidus	Orthogeomys hispidus	Rodentia	3.84		3.97824		542.1		M	1	Adult	Hafner 1984	Took brain endocranial volume and multiplied by 1.036 to convert to grams
Orycteropus afer	Orycteropus afer	Tubulidentata			72		52500		F	1	Subadult	Pirlot & Kamiya 1983	
Oryctolagus cuniculus	Lepus cuniculus	Lagomorpha			9.3		1226		NA	NA	Not Adult	Count 1947 (Brummelkamp 1939b) 	Age class estimated from body mass
Oryctolagus cuniculus	Oryctolagus cuniculus	Rodentia			10.4		1440		NA	NA	Not Adult	Count 1947 (Brummelkamp 1939b) 	Age class estimated from body mass
Oryctolagus cuniculus	Oryctolagus cuniculus	Lagomorpha			8.98		1411.8		M&F	NA	Adult	Mace 1981	
Oryctolagus cuniculus	Oryctolagus cuniculus	Lagomorpha			13.7		2844		NA	1	Adult	Warncke 1908	Age class estimated from body mass
Oryctolagus cuniculus	Oryctolagus cuniculus	Lagomorpha			10.6		2217		NA	1	Adult	Warncke 1908	Age class estimated from body mass
Oryctolagus cuniculus	Oryctolagus cuniculus	Lagomorpha			9.05		622		NA	1	NA	Warncke 1908	
Oryzomys palustris	Oryzomys palustris	Rodentia			0.88		47.1		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Oryzorictes hova	Oryzorictes talpoides	Afrosoricida			0.58		44.2		NA	1	Adult	Stephan 1981	Age class estimated from body mass
Osgoodomys banderanus	Osgoodomys banderanus	Rodentia			0.94		NA		M&F	22	Adult	Mace & Eisenberg 1982	
Otaria flavescens	Otaria byronia	Carnivora			470		144000		F	1	Adult	Bininda-Emonds 2000	
Otaria flavescens	Otaria byronia	Carnivora			542.5		300000		M	1	Adult	Bininda-Emonds 2000	
Otocyon megalotis	Otocyon megalotis	Carnivora			26.09		3335		F	1	Adult	Crile & Quiring 1940	Age class estimated from body mass
Otolemur crassicaudatus	Galago crassicaudatus	Primates			10.3		850		NA	2	Not Adult	Stephan 1981	Age class estimated from body mass
Otomys angoniensis	Otomys angoniensis	Rodentia			0.42		95		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Otomys irroratus	Otomys irroratus	Rodentia			1.38		141		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Ototylomys phyllotis	Ototylomys phyllotis	Rodentia			1.33		63		M&F	NA	Adult	Mace 1981	"Brain mass corrected, subtracted 0.59g from brain weight, see Isler 2006"
Ovis aries	Ovis aries	Cetartiodactyla			109		40230		M	9	NA	Crile & Quiring 1940	
Ovis aries	Lambs	Cetartiodactyla			106.5		52100		F	7	NA	Crile & Quiring 1940	
Ovis aries	Ovis aries	Cetartiodactyla			88.8		NA		F	5	NA	Crile & Quiring 1940	
Ovis aries	Ovis aries	Cetartiodactyla			125.9		32950		NA	1	Adult	Glendenning 1998	
Ovis aries	Ovis aries	Cetartiodactyla	140		145.04		NA		NA	1	NA	Haug 1987	
Pagophilus groenlandica	Phoca groenlandica	Carnivora			252.5		129500		F	1	Adult	Bininda-Emonds 2000	
Pagophilus groenlandica	Phoca groenlandica	Carnivora			297.5		135000		M	1	Adult	Bininda-Emonds 2000	
Pagophilus groenlandica	Pagophilus groenlandicus	Carnivora			297	40	127500		NA	20	Adult	Kovacs 1985	Body mass estimated from Nowak 1991
Pagophilus groenlandicus	Pagophilus groenlandicus	Carnivora			215	24	NA		NA	41	Juvenile	Kovacs 1985	
Pagophilus groenlandicus	Pagophilus groenlandicus	Carnivora			259	39	NA		NA	11	Subadult	Kovacs 1985	
Pan paniscus	Pan paniscus	Primates	311.2	11	322.4032	11.396	45400	7800	M&F	4	Adult	Rilling 1999	"2 males, 2 females; CRC Handbook: Age class estimated from body mass"
Pan paniscus	Pan paniscus	Primates			337.0		34000		F	1	Adult	Sherwood data/this study	Estimated age of species: 25 y; Body mass estimated from Silva & Downing 1995
Pan troglodytes	Troglodytes niger	Primates			325		43990		F	1	Adult	Crile & Quiring 1940	Age class estimated from body mass
Pan troglodytes	Troglodytes niger	Primates			440		56690		M	1	Adult	Crile & Quiring 1940	Age class estimated from body mass
Pan troglodytes	Pan troglodytes	Primates	433		448.588		NA		NA	1	NA	Haug 1987	
Pan troglodytes	Pan troglodytes	Primates			337.5		5415		M	1	Juvenile	Hrdlicka 1925	
Pan troglodytes	Pan troglodytes	Primates			341		188250		M	1	Adult	Hrdlicka 1925	Weight after many months in preservative; Body mass estimated from Silva & Downing 1995
Pan troglodytes	Pan troglodytes	Primates			402		188250		M	1	Adult	Hrdlicka 1925	Weight after many months in preservative; Body mass estimated from Silva & Downing 1995
Pan troglodytes	Pan troglodytes	Primates	337.3	15.8	349.4428	16.3688	55400	6500	M&F	6	Adult	Rilling 1999	"3 males, 3 females; Age class estimated from body mass"
Pan troglodytes	Pan troglodytes	Primates			377.2		49450		M	1	Adult	Sherwood data/this study	Estimated age of species: 41y; Body mass estimated from Silva & Downing 1995
Pan troglodytes	Pan troglodytes	Primates			314.3		40300		F	1	Adult	Sherwood data/this study	Estimated age of species: 27y; Body mass estimated from Silva & Downing 1995
Pan troglodytes	Pan troglodytes	Primates			229.2		40300		F	1	Adult	Sherwood data/this study	Estimated age of species: 19y; Body mass estimated from Silva & Downing 1995
Pan troglodytes	Pan troglodytes	Primates			343.9		40300		F	1	Adult	Sherwood data/this study	Estimated age of species: 18y; Body mass estimated from Silva & Downing 1995
Pan troglodytes	Pan troglodytes	Primates			364.6		49450		M	1	Adult	Sherwood data/this study	Estimated age of species: 19y; Body mass estimated from Silva & Downing 1995
Pan troglodytes	Pan troglodytes	Primates			384.0		49450		M	1	Adult	Sherwood data/this study	Estimated age of species: 17y; Body mass estimated from Silva & Downing 1995
Pan troglodytes	Pan troglodytes	Primates			348.1		40300		F	1	Adult	Sherwood data/this study	Estimated age of species: 35y; Body mass estimated from Silva & Downing 1995
Pan troglodytes	Pan troglodytes	Primates			327.8		40300		F	1	Adult	Sherwood data/this study	Estimated age of species: 41y; Body mass estimated from Silva & Downing 1995
Pan troglodytes	Pan troglodytes	Primates			332.9		40300		F	1	Adult	Sherwood data/this study	Estimated age of species: 44y; Body mass estimated from Silva & Downing 1995
Pan troglodytes	Pan troglodytes	Primates			312.9		40300		F	1	Adult	Sherwood data/this study	Estimated age of species: 45y; Body mass estimated from Silva & Downing 1995
Pan troglodytes	Pan troglodytes	Primates			341.2		49450		M	1	Adult	Sherwood data/this study	Estimated age of species: 40y; Body mass estimated from Silva & Downing 1995
Pan troglodytes	Pan troglodytes	Primates			407.5		40300		F	1	Adult	Sherwood data/this study	Estimated age of species: 23 y; Body mass estimated from Silva & Downing 1995
Pan troglodytes	Pan troglodytes	Primates			395.3		49450		M	1	Adult	Sherwood data/this study	Estimated age of species: 28y; Body mass estimated from Silva & Downing 1995
Pan troglodytes	Pan troglodytes	Primates			355.0		NA		M	1	NA	Sherwood data/this study	
Pan troglodytes	Troglodytes niger	Primates			318		5490		M	1	Juvenile	Spitzka 1903	
Pan troglodytes	Troglodytes niger	Primates			302		5560		F	1	Juvenile	Spitzka 1903	
Pan troglodytes	Pan troglodytes	Primates			405		46000		NA	1	Adult	Stephan 1981	Age class estimated from body mass
Panthera leo	Felis leo	Carnivora			163		20410		F	1	Juvenile	Crile & Quiring 1940	
Panthera leo	Felis leo	Carnivora			167		56690		F	2	Juvenile	Crile & Quiring 1940	
Panthera leo	Felis leo	Carnivora			229.2		124000		M	3	Juvenile	Crile & Quiring 1940	
